,Hotel_Name,festac,Address,Cost,Property_type,Likes,Rating,Review
2702,The Avenue,Ikoyi ,"Ikoyi , Lagos -  5th Avenue, Banana Island, Ikoyi   ","₦60,000",The Avenue,1,NA,NA
2703,"Short Stay Short Let In 1004 Estate, Victoria Island",Victoria Island,"Victoria Island, Lagos - ","₦30,000","Short Stay Short Let In 1004 Estate, Victoria Island",1,NA,NA
2704,Short Stay Short Let In Lekki,Lekki,"Lekki, Lagos - ","₦70,000",Short Stay Short Let In Lekki,1,NA,NA
2705,Short Stay Short Let In Ikota Estate,Yaba ,"Yaba , Lagos - ","₦45,000",Short Stay Short Let In Ikota Estate,1,NA,NA
2706,"Short Stay Short Let In Eko Atlantic City, Victoria Island",Victoria Island,"Victoria Island, Lagos - ","₦165,000","Short Stay Short Let In Eko Atlantic City, Victoria Island",1,NA,NA
2707,Comfy Burrows,Yaba,"Yaba, Lagos - ","₦65,000",Comfy Burrows,1,NA,NA
2708,Short Stay Short Let In Chevron, Ikoyi," Ikoyi, Lagos - ","₦25,000",Short Stay Short Let In Chevron,1,NA,NA
2709,Short Stay Short Let In Block D5 Victoria Island,Victoria Island,"Victoria Island, Lagos - ","₦40,000",Short Stay Short Let In Block D5 Victoria Island,1,NA,NA
2710,"Short Stay Short Let In Ikate Lekki, Ikate Elegushi",Lekki,"Lekki, Lagos - ","₦20,000","Short Stay Short Let In Ikate Lekki, Ikate Elegushi",1,NA,NA
2711,Short Stay Short Let In Admiralty Way,Lekki,"Lekki, Lagos - ","₦45,000",Short Stay Short Let In Admiralty Way,1,NA,NA
2712,Short Stay Short Let In Agungi,Lekki,"Lekki, Lagos - ","₦35,000",Short Stay Short Let In Agungi,1,NA,NA
2713,Short Stay Short Let In Parkview Estate,Ikoyi,"Ikoyi, Lagos - ","₦40,000",Short Stay Short Let In Parkview Estate,1,NA,NA
2714,Short Stay  In Victoria Island,Victoria Island,"Victoria Island, Lagos - ","₦60,000",Short Stay  In Victoria Island,1,NA,NA
2715,"Short Stay  In Ikeja, G.R.A",Ikeja ,"Ikeja , Lagos - ","₦75,000","Short Stay  In Ikeja, G.R.A",1,NA,NA
2716,"Short Stay Short Let In Ikeja, G.R.A- 01",Ikeja,"Ikeja, Lagos - ","₦40,000","Short Stay Short Let In Ikeja, G.R.A- 01",1,NA,NA
2717," Short Let In Ikeja, G.R.A",Ikeja,"Ikeja, Lagos - ","₦45,000"," Short Let In Ikeja, G.R.A",1,NA,NA
2718,Short Let In Victoria Island-1,Victoria Island,"Victoria Island, Lagos - ","₦85,000",Short Let In Victoria Island-1,1,NA,NA
2719,Short Stay In Lekki- 2,Lekki,"Lekki, Lagos - ","₦30,000",Short Stay In Lekki- 2,1,NA,NA
2720,Three Bedroom Flat/Apartment (Rent),Ikoyi,"Ikoyi, Lagos - ","₦13,000,000",Three Bedroom Flat/Apartment (Rent),1,NA,NA
2721,Short Let In Lekki-1,Lekki,"Lekki, Lagos - ","₦20,000",Short Let In Lekki-1,1,NA,NA
2722,Short Stay Short Let In Chevron,Lekki,"Lekki, Lagos - ","₦25,000",Short Stay Short Let In Chevron,1,NA,NA
2723,"Short Stay Short Let In Beach Road, Ikate Elegushi",Lekki,"Lekki, Lagos - ","₦25,000","Short Stay Short Let In Beach Road, Ikate Elegushi",1,NA,NA
2724,K Tavern Hotels,,", Lagos - ",NA,K Tavern Hotels,1,NA,NA
2725,Short Stay Short Let In Lekki-HNG001 ,Lekki,"Lekki, Lagos - ","₦100,000",Short Stay Short Let In Lekki-HNG001 ,1,NA,NA
